date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:20	43869/43869	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/money/4.png	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/money/4.png	(from https://www.monopolygo.net/)
11:40:20	50575/50575	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/money/5.png	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/money/5.png	(from https://www.monopolygo.net/)
11:40:21	38836/38836	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/rolls/1.png	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/rolls/1.png	(from https://www.monopolygo.net/)
11:40:21	53695/53695	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/money/6.png	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/money/6.png	(from https://www.monopolygo.net/)
11:40:22	41512/41512	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/rolls/2.png	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/rolls/2.png	(from https://www.monopolygo.net/)
11:40:22	15939310/15939310	---M--	200	added ('OK')	video/mp4	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/video/video.mp4	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/video/video.mp4	(from https://www.monopolygo.net/)
11:40:22	44428/44428	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/rolls/3.png	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/rolls/3.png	(from https://www.monopolygo.net/)
11:40:22	45833/45833	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/rolls/4.png	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/rolls/4.png	(from https://www.monopolygo.net/)
11:40:23	47746/47746	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/rolls/5.png	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/rolls/5.png	(from https://www.monopolygo.net/)
11:40:23	49457/49457	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/rolls/6.png	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/rolls/6.png	(from https://www.monopolygo.net/)
11:40:23	1740/1740	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/ios.png	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/ios.png	(from https://www.monopolygo.net/)
11:40:23	1976/1976	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/android.png	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/android.png	(from https://www.monopolygo.net/)
11:40:24	86927/86927	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20Aug%202021%2021:17:54%20GMT	https://www.monopolygo.net/jquery-3.3.1.min.js	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/jquery-3.3.1.min.js	(from https://www.monopolygo.net/)
11:40:24	20337/20337	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2004%20May%202020%2019:45:38%20GMT	https://www.monopolygo.net/ajax/libs/popper.js/1.14.3/umd/popper.min.js	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/ajax/libs/popper.js/1.14.3/umd/popper.min.js	(from https://www.monopolygo.net/)
11:40:24	51039/51039	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20Jan%202021%2002:34:06%20GMT	https://www.monopolygo.net/bootstrap/4.1.3/js/bootstrap.min.js	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/bootstrap/4.1.3/js/bootstrap.min.js	(from https://www.monopolygo.net/)
11:40:25	67751/67751	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2026%20Jun%202023%2016:06:10%20GMT	https://www.monopolygo.net/ajax/libs/select2/4.0.6-rc.0/js/select2.min.js	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/ajax/libs/select2/4.0.6-rc.0/js/select2.min.js	(from https://www.monopolygo.net/)
11:40:26	32030/32030	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2015%20Jan%202024%2011:33:37%20GMT	https://www.monopolygo.net/assets/js/main.js?v=69770	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/js/main228e.js	(from https://www.monopolygo.net/)
11:40:27	33291/33291	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Apr%202024%2004:40:24%20GMT	http://ww25.mywebsiteurl.com/bwNWHdKtr.js	C:/My%20Web%20Sites/monopolygo/ww25.mywebsiteurl.com/bwNWHdKtr.js	(from http://ww25.mywebsiteurl.com/social-share-image.jpg?subid1=20240422-1440-1330-9f5d-4ff0840250c4)
11:40:27	118560/118560	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-brands-400.eot	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:28	118560/118560	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-brands-400-1.eot	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-brands-400-1.eot	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:29	65316/65316	---M--	200	added ('OK')	font/woff2	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-brands-400.woff2	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:30	76344/76344	---M--	200	added ('OK')	font/woff	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-brands-400.woff	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:31	118324/118324	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-brands-400.ttf	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:32	648265/648265	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-brands-400.svg	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:33	40576/40576	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-regular-400.eot	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:33	40576/40576	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-regular-400-1.eot	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-regular-400-1.eot	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:34	14868/14868	---M--	200	added ('OK')	font/woff2	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-regular-400.woff2	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:35	18168/18168	---M--	200	added ('OK')	font/woff	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-regular-400.woff	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:35	40348/40348	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-regular-400.ttf	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:36	142267/142267	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-regular-400.svg	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:37	180720/180720	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-solid-900.eot	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:38	180720/180720	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-solid-900-1.eot	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-solid-900-1.eot	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:39	67400/67400	---M--	200	added ('OK')	font/woff2	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-solid-900.woff2	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:39	86876/86876	---M--	200	added ('OK')	font/woff	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-solid-900.woff	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:40	180500/180500	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-solid-900.ttf	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:41	3306/3306	---M--	200	added ('OK')	text/html	date:Wed,%2009%20Aug%202023%2015:53:06%20GMT	https://www.monopolygo.net/css2	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/css2.html	(from https://www.monopolygo.net/assets/css/style.css?v=568574)
11:40:41	1656/1656	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/bg-shop.png	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/bg-shop.png	(from https://www.monopolygo.net/assets/css/style.css?v=568574)
11:40:41	1614/1614	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/header-shop.jpg	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/header-shop.jpg	(from https://www.monopolygo.net/assets/css/style.css?v=568574)
11:40:41	680510/680510	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Jun%202021%2019:12:34%20GMT	https://www.monopolygo.net/releases/v5.3.1/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/webfonts/fa-solid-900.svg	(from https://www.monopolygo.net/releases/v5.3.1/css/all.css)
11:40:41	1614/1614	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/footer-shop.jpg	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/footer-shop.jpg	(from https://www.monopolygo.net/assets/css/style.css?v=568574)
